Temp,P,Core,Mflow,Pressurizer,L_Mf
550.85,6208660.0,2.386,1271.8,7.546,-7.5553
550.77,6200780.0,2.3499,1033.6,7.538,-3.1001
550.72,6195750.0,2.2711,623.69,7.531,-3.6124
550.68,6190640.0,2.1131,286.98,7.522,-5.3491
550.66,6188500.0,2.0527,335.77,7.51,-6.0453
550.44,6167780.0,2.1933,50.901,7.494,-11.14
550.18,6142160.0,1.9146,-164.32,7.465,-11.685
549.99,6123530.0,1.8719,-186.3,7.441,-8.94
549.67,6095170.0,2.0276,-30.137,7.419,-10.064
549.31,6060770.0,1.7058,-632.88,7.39,-10.656
549.14,6044090.0,1.606,-333.58,7.374,-1.0132
549.08,6038640.0,1.7323,-72.498,7.383,5.7479
548.82,6014450.0,1.7417,-489.12,7.392,-0.1491
548.29,5965680.0,1.684,-185.77,7.379,-9.0628
547.84,5925750.0,1.8314,-188.69,7.357,-7.9623
547.56,5900380.0,1.594,-502.65,7.35,0.1929
547.31,5877380.0,1.829,328.39,7.355,1.382
547.26,5874790.0,2.2197,338.17,7.367,6.2194
546.82,5834280.0,2.094,73.103,7.369,-9.4791
545.72,5735530.0,1.9917,-29.504,7.304,-41.084
544.88,5660290.0,1.737,-205.7,7.242,-14.563
544.0,5582910.0,1.7546,-326.28,7.209,-11.036
543.03,5498430.0,1.682,-251.87,7.182,-10.512
541.89,5401600.0,1.7964,-181.05,7.146,-15.483
540.62,5294590.0,1.6405,-323.56,7.104,-23.667
539.24,5180300.0,1.7344,-155.63,7.049,-15.276
537.89,5069100.0,1.6025,-21.565,7.012,-23.861
536.42,4953090.0,1.6009,-14.192,6.9573,-23.355
534.71,4818040.0,1.6713,-127.49,6.8817,-35.192
532.94,4681900.0,1.6012,-121.21,6.794,-29.375
531.23,4553880.0,1.6166,-167.52,6.7138,-35.089
529.38,4416430.0,1.5692,-51.38,6.5939,-60.495
527.42,4275280.0,1.5161,-233.38,6.417,-88.796
525.63,4150420.0,1.3343,158.96,6.2673,10.774
523.64,4014720.0,1.4634,-143.96,6.5121,35.559
521.64,3881050.0,1.4695,-181.75,6.426,-92.272
519.66,3751840.0,1.4246,-132.62,6.4312,76.081
517.68,3625750.0,1.403,179.99,6.4815,-21.648
515.76,3506420.0,1.3716,46.83,6.4754,36.667
513.78,3387500.0,1.3548,152.99,6.4655,-9.1296
511.8,3272330.0,1.1484,150.04,6.4682,0.4672
509.89,3162630.0,1.1963,75.191,6.4461,-1.8541
507.81,3048070.0,1.2402,143.09,6.4181,-21.466
505.97,2948010.0,1.2148,124.38,6.4014,-47.751
504.12,2849670.0,1.0581,585.69,6.3505,-3.3783
502.15,2747880.0,0.9903,366.91,6.2701,-39.101
500.15,2649180.0,1.077,128.88,6.1447,-59.539
498.42,2564110.0,1.0448,110.05,5.9402,-100.94
496.47,2472140.0,1.008,347.59,5.7195,-71.412
494.64,2388580.0,1.0309,-423.37,5.5812,-2.1596
493.0,2313660.0,0.8951,55.827,5.7866,83.725
491.17,2234900.0,0.9949,105.84,5.7929,-3.752
489.43,2160380.0,0.8641,168.74,5.8237,12.073
487.65,2086400.0,0.9109,211.22,5.7558,-15.667
485.92,2017020.0,0.9115,-165.53,5.7667,-7.575
484.09,1945170.0,0.8986,34.258,5.7232,-19.433
482.23,1873990.0,0.872,246.65,5.6799,-13.045
480.49,1808750.0,0.8478,79.118,5.6536,33.948
478.62,1742280.0,0.8731,185.02,5.6789,-65.696
476.88,1681020.0,0.8148,-83.236,5.615,21.221
475.16,1621930.0,0.7945,29.103,5.6282,-62.622
473.48,1566230.0,0.7796,32.452,5.5645,-19.469
471.82,1512170.0,0.6621,247.94,5.4981,-18.027
470.19,1461280.0,0.7049,236.75,5.4592,-21.876
468.81,1419040.0,0.7078,-666.75,5.3641,-63.98
467.3,1373520.0,0.6107,63.42,5.1925,-75.978
465.74,1327920.0,0.614,440.23,5.0116,-63.288
464.63,1296250.0,0.537,-986.84,4.889,-11.078
463.14,1254890.0,0.4617,107.63,4.9119,15.793
461.7,1215660.0,0.5744,-201.87,4.9353,16.33
460.59,1186210.0,0.5292,198.78,5.0029,72.807
459.25,1151510.0,0.5787,-32.645,5.0695,-84.042
457.95,1118530.0,0.5812,-107.9,4.896,-45.86
456.6,1084980.0,0.6018,159.74,4.893,28.835
455.19,1050600.0,0.6116,16.8,4.8982,-73.402
453.77,1017250.0,0.5963,184.94,4.7992,-22.367
452.39,985320.0,0.6042,-117.69,4.7809,16.224
451.0,954106.0,0.5751,227.83,4.7951,-57.999
449.59,923348.0,0.5951,129.45,4.6904,-13.074
448.21,893829.0,0.5667,140.24,4.6759,-38.358
446.87,865901.0,0.5746,-4.7059,4.6044,-13.589
445.57,839581.0,0.5351,-34.821,4.5959,-14.075
444.37,815691.0,0.5222,-116.88,4.5542,-28.459
443.13,791828.0,0.4968,77.271,4.4903,-21.824
441.94,769323.0,0.4964,-0.866,4.4546,-24.445
440.71,746514.0,0.486,230.67,4.3493,-34.157
439.69,727959.0,0.4021,-22.431,4.3635,10.53
438.83,712830.0,0.2893,319.24,4.404,37.132
437.77,694210.0,0.4312,-303.52,4.3983,-72.938
436.8,677659.0,0.5224,127.07,4.2249,-65.268
435.94,663188.0,0.39,-55.406,4.1472,11.601
434.85,645281.0,0.4541,13.426,4.1716,-49.838
433.82,628809.0,0.3964,-198.38,4.0652,-41.823
432.79,612510.0,0.4648,22.522,4.0111,2.8995
431.85,597474.0,0.3291,-136.61,3.9934,-54.62
431.12,586748.0,0.274,46.4,3.9532,15.713
430.3,574514.0,0.3153,-43.556,3.9912,32.557
429.34,560427.0,0.4149,-16.838,4.019,-28.414
428.46,547832.0,0.5227,237.96,3.9062,-42.071
427.7,536987.0,0.3882,231.24,3.8367,-1.0535
426.81,524688.0,0.3973,139.79,3.8578,28.34
425.94,512704.0,0.4189,-57.253,3.8997,-1.0454
425.05,500806.0,0.446,54.805,3.8708,-32.889
424.3,490946.0,0.219,-91.752,3.7901,-25.497
423.47,480235.0,0.3824,231.77,3.7126,7.7719
422.72,470571.0,0.4635,-153.49,3.7747,39.319
421.86,459779.0,0.47,181.94,3.8705,51.228
421.04,449678.0,0.4401,-122.56,3.8634,-24.502
420.3,440742.0,0.308,-332.96,3.7615,-35.864
419.49,431161.0,0.3461,296.59,3.6815,-56.796
418.76,422636.0,0.387,-75.274,3.5899,-43.525
417.97,413529.0,0.3793,-418.13,3.4821,-51.245
417.47,407812.0,0.3473,-446.32,3.403,-24.827
416.56,397742.0,0.3412,-110.72,3.3645,-38.691
415.85,389944.0,0.4029,-180.02,3.2844,-27.572
595.79,15749900.0,3.8306,14802.0,7.834,-2.8908
595.8,15750000.0,3.8306,14803.0,7.834,-4.2053
595.77,15750400.0,3.8306,14804.0,7.834,-3.3561
595.76,15750300.0,3.8306,14804.0,7.834,-1.8119
595.77,15750200.0,3.8306,14804.0,7.834,-1.9022
595.77,15750300.0,3.8306,14804.0,7.834,-2.1593
595.76,15750400.0,3.8306,14805.0,7.834,-1.4311
595.76,15750300.0,3.8306,14804.0,7.834,-1.007
595.76,15750300.0,3.8306,14804.0,7.834,-1.1186
595.76,15750400.0,3.8306,14805.0,7.834,-0.9543
595.75,15750400.0,3.8306,14805.0,7.834,-0.6052
595.76,15750400.0,3.8306,14804.0,7.834,-0.4953
595.76,15750400.0,3.8306,14804.0,7.834,-0.4694
595.76,15750400.0,3.8306,14804.0,7.834,-0.3303
595.76,15750400.0,3.8306,14804.0,7.834,-0.2162
595.76,15750400.0,3.8306,14804.0,7.834,-0.1886
592.23,11290400.0,3.6501,13424.0,7.833,-28.689
589.23,10774400.0,3.4352,11701.0,7.834,-3.0414
574.41,8753520.0,3.3272,7773.8,7.776,-159.19
561.49,7295290.0,2.7577,8041.7,7.241,-161.65
558.0,6928000.0,2.5319,6606.6,7.219,39.141
556.36,6757310.0,2.4923,5598.0,7.284,23.971
555.15,6634780.0,2.4463,4925.6,7.316,13.242
554.16,6535120.0,2.4338,4605.3,7.324,8.4727
553.39,6458090.0,2.488,4256.4,7.324,7.2025
552.82,6402060.0,2.4984,3754.4,7.326,8.3688
552.38,6358890.0,2.4739,3362.3,7.337,11.888
552.04,6325910.0,2.4379,3019.0,7.364,16.063
551.78,6299970.0,2.4221,2756.4,7.4,16.072
551.56,6278440.0,2.4119,2513.6,7.436,14.44
551.37,6260530.0,2.4065,2325.8,7.47,12.932
551.22,6245750.0,2.4296,2088.1,7.501,11.304
551.1,6234000.0,2.4325,1871.5,7.528,9.8036
551.0,6223670.0,2.4216,1647.3,7.551,8.2327
550.9,6213600.0,2.4147,1475.7,7.57,-2.9335
550.8,6204420.0,2.3985,1284.1,7.545,-7.4531
550.72,6196590.0,2.357,1073.2,7.536,-2.9752
550.67,6190910.0,2.3113,755.18,7.53,-4.1499
550.61,6184120.0,2.1853,330.72,7.52,-6.0966
550.58,6180680.0,2.0466,251.9,7.507,-6.2669
550.43,6167090.0,2.1858,255.14,7.493,-9.8548
550.04,6128830.0,1.8669,-290.35,7.463,-13.254
549.82,6109910.0,2.211,293.13,7.435,-10.494
549.2,6050980.0,1.9192,-176.24,7.404,-8.9114
549.02,6033220.0,1.6733,-379.36,7.374,-7.3437
549.23,6053020.0,1.6388,-315.1,7.384,10.289
549.49,6076720.0,1.8518,-65.722,7.416,12.41
549.62,6089430.0,1.6821,-727.12,7.444,7.1855
549.29,6057570.0,1.3648,-370.76,7.45,-6.4164
548.74,6006460.0,1.6287,143.95,7.426,-9.4256
548.47,5985080.0,2.1086,236.98,7.401,-7.9643
548.26,5966150.0,2.2085,630.25,7.391,-4.8172
547.71,5915100.0,2.155,-49.525,7.369,-7.1931
547.11,5858370.0,1.8685,-31.978,7.339,-10.949
546.29,5786770.0,1.9927,-128.67,7.293,-13.917
545.56,5719990.0,1.7745,-84.962,7.265,-10.635
544.72,5647770.0,1.8971,-397.46,7.236,-10.81
543.74,5560570.0,1.6966,3.9999,7.206,-14.259
542.82,5482050.0,1.726,-483.66,7.174,-11.937
541.65,5381500.0,1.8132,26.527,7.139,-20.781
540.52,5286990.0,1.6891,-180.71,7.106,-13.314
539.09,5169130.0,1.7848,-351.18,7.052,-21.158
537.65,5049970.0,1.5983,-212.26,7.001,-23.248
536.23,4938720.0,1.7569,-161.53,6.9489,-17.274
534.51,4802060.0,1.5601,72.044,6.8775,-42.38
532.79,4669620.0,1.6632,-177.35,6.7861,-38.035
530.91,4530570.0,1.6667,-171.2,6.6603,-51.703
529.19,4402970.0,1.5551,-41.903,6.5429,-48.445
527.26,4264890.0,1.5306,-99.492,6.3893,-76.958
525.36,4131980.0,1.4292,155.59,6.3536,110.65
523.33,3993170.0,1.4984,19.394,6.5253,-17.155
521.38,3863560.0,1.4337,107.26,6.3744,-53.695
519.36,3732570.0,1.3796,134.27,6.47,42.592
517.24,3598050.0,1.2145,152.77,6.4407,-55.798
515.24,3475860.0,1.3451,-148.24,6.4735,22.578
513.18,3353410.0,1.3567,-79.238,6.4532,-0.7568
511.16,3234740.0,1.2517,-86.295,6.4641,12.746
509.22,3125090.0,1.2603,-18.361,6.4452,3.9922
507.19,3013820.0,1.2523,1.9647,6.3865,9.1039
505.27,2910690.0,1.2238,113.61,6.3931,-45.523
503.34,2810150.0,1.2108,72.4,6.3145,2.8527
501.64,2722950.0,1.16,-103.1,6.2741,-11.992
499.86,2635620.0,1.1577,-146.39,6.1966,-66.108
498.24,2556780.0,1.1231,147.34,5.9197,-124.33
496.48,2473400.0,1.0724,96.082,5.6819,-69.993
494.62,2387390.0,1.0011,125.37,5.5936,35.741
492.77,2305290.0,1.0666,191.68,5.7045,94.364
491.29,2238910.0,0.8164,674.91,5.8657,3.8221
489.49,2162720.0,0.9223,-348.43,5.7627,-11.228
487.65,2086920.0,0.9612,-131.79,5.7472,-16.849
485.96,2018730.0,0.9615,173.6,5.7874,50.406
484.47,1959620.0,0.9329,55.818,5.8415,-15.154
482.93,1900100.0,0.8829,257.82,5.759,29.042
481.14,1832990.0,0.7727,217.88,5.752,-26.616
479.26,1764580.0,0.8379,-66.697,5.6885,-43.255
477.52,1703310.0,0.8542,121.86,5.6387,25.76
475.88,1646120.0,0.8197,-160.27,5.6642,-33.459
474.18,1589290.0,0.7988,-19.851,5.5831,-27.251
472.57,1536530.0,0.7815,-66.942,5.6178,24.004
470.96,1485400.0,0.7521,-40.715,5.5622,-70.748
469.28,1433420.0,0.7573,154.17,5.3685,-99.778
467.61,1383020.0,0.7497,120.34,5.1559,-96.444
466.14,1340410.0,0.758,156.89,4.9571,-58.593
464.95,1305340.0,0.6613,17.752,4.8845,17.509
463.49,1264540.0,0.6374,-3.6692,4.8776,-25.967
462.25,1230650.0,0.5977,145.5,4.9017,61.541
460.92,1194920.0,0.5933,362.75,5.0792,5.9746
459.7,1162990.0,0.451,506.87,4.9309,-48.137
458.32,1127680.0,0.5632,243.63,4.7628,-54.005
457.34,1103110.0,0.4732,602.74,4.8048,103.46
455.83,1066170.0,0.5635,123.21,4.985,7.0521
454.8,1041370.0,0.5977,-931.13,4.8159,-82.813
453.72,1015980.0,0.4895,-52.438,4.7428,56.322
452.25,982250.0,0.5352,40.563,4.9041,41.878
451.28,960303.0,0.4473,-95.4,4.8595,-56.462
449.89,929804.0,0.4932,-116.1,4.7727,-33.241
448.77,905620.0,0.5273,204.44,4.715,20.38
447.5,878858.0,0.5671,-191.02,4.7631,-32.384
446.72,862854.0,0.3817,441.29,4.7623,70.055
445.55,839034.0,0.4057,-146.2,4.7954,-62.688
444.34,815098.0,0.5076,-248.0,4.6646,-30.316
443.17,792485.0,0.4875,-123.98,4.6508,26.751
441.96,769657.0,0.5508,73.581,4.613,-63.274
440.98,751395.0,0.3798,-16.256,4.5061,-12.166
439.8,730065.0,0.5556,-17.488,4.4397,-75.079
438.93,714550.0,0.4601,238.84,4.2762,-48.369
437.93,697110.0,0.5275,34.801,4.2088,-2.598
436.89,679291.0,0.4838,225.66,4.2011,-43.052
435.8,660950.0,0.5245,18.755,4.1428,-19.878
434.75,643755.0,0.5399,-34.514,4.0692,-41.449
433.98,630932.0,0.3885,-79.986,4.0173,3.1847
432.97,615321.0,0.3154,172.01,4.0799,18.716
431.98,599962.0,0.5121,-13.745,4.0461,-58.021
431.17,587588.0,0.5496,195.62,3.9707,22.859
430.37,575677.0,0.5546,232.06,4.0549,28.188
429.43,561836.0,0.4867,144.33,4.0402,-58.458
428.57,549356.0,0.3816,58.368,3.9175,0.1084
427.64,536239.0,0.4676,-392.32,3.9017,-44.851
426.76,524004.0,0.4672,937.62,3.8534,-19.522
425.97,513161.0,0.5418,161.75,3.7818,-50.961
425.24,503272.0,0.4709,-388.07,3.7671,23.331
424.2,489607.0,0.4824,-10.593,3.8508,8.7093
423.51,480734.0,0.491,230.33,3.9365,-34.109
422.79,471488.0,0.3738,-95.879,3.8334,-44.251
421.93,460726.0,0.5093,-275.2,3.7137,-53.737
421.23,452120.0,0.5285,-30.346,3.6073,-52.544
420.61,444580.0,0.3202,184.73,3.5127,-31.854
419.91,436126.0,0.4008,-180.84,3.4714,-29.442
419.04,425925.0,0.4675,225.35,3.397,-32.601
418.56,420305.0,0.323,254.22,3.3543,-17.461
595.79,15749900.0,3.8306,14802.0,7.834,-2.8908
595.8,15750000.0,3.8306,14803.0,7.834,-4.2053
595.77,15750400.0,3.8306,14804.0,7.834,-3.3561
595.76,15750300.0,3.8306,14804.0,7.834,-1.8119
595.77,15750200.0,3.8306,14804.0,7.834,-1.9022
595.77,15750300.0,3.8306,14804.0,7.834,-2.1593
595.76,15750400.0,3.8306,14805.0,7.834,-1.4311
595.76,15750300.0,3.8306,14804.0,7.834,-1.007
595.76,15750300.0,3.8306,14804.0,7.834,-1.1186
595.76,15750400.0,3.8306,14805.0,7.834,-0.9543
595.75,15750400.0,3.8306,14805.0,7.834,-0.6052
595.76,15750400.0,3.8306,14804.0,7.834,-0.4953
595.76,15750400.0,3.8306,14804.0,7.834,-0.4694
595.76,15750400.0,3.8306,14804.0,7.834,-0.3303
595.76,15750400.0,3.8306,14804.0,7.834,-0.2162
595.76,15750400.0,3.8306,14804.0,7.834,-0.1886
592.23,11290400.0,3.6501,13424.0,7.833,-28.689
589.23,10774400.0,3.4352,11701.0,7.834,-3.0414
574.41,8753520.0,3.3272,7773.8,7.776,-159.19
561.49,7295290.0,2.7577,8041.7,7.241,-161.65
558.0,6928000.0,2.5319,6606.6,7.219,39.141
556.36,6757310.0,2.4923,5598.0,7.284,23.971
555.15,6634780.0,2.4463,4925.6,7.316,13.242
554.16,6535120.0,2.4338,4605.3,7.324,8.4727
553.39,6458090.0,2.488,4256.4,7.324,7.2025
552.82,6402060.0,2.4984,3754.4,7.326,8.3688
552.38,6358890.0,2.4739,3362.3,7.337,11.888
552.04,6325910.0,2.4379,3019.0,7.364,16.063
551.78,6299970.0,2.4221,2756.4,7.4,16.072
551.56,6278440.0,2.4119,2513.6,7.436,14.44
551.37,6260530.0,2.4065,2325.8,7.47,12.932
